"","HT.29.cells.treatment.sample.3","HT.29.cells.treatment.sample.2","HT.29.cells.treatment.sample.1","HT.29.cells.control.sample.3","HT.29.cells.control.sample.2","HT.29.cells.control.sample.1"
"SPATA24",64.5893835432253,61.1797222566581,75.11789366494,46.2746302920991,41.1896805522344,79.0597580222922
"DNAJC18",8.67618584908996,10.369444450281,8.01257532426026,9.44380210042838,5.61677462075924,12.9961246064042
"STING1",229.436914675935,265.457777927195,258.405554207393,220.040588939981,219.99033931307,327.069135927839
"UBE2D2",2311.72151845753,2505.2577791879,2309.62483721802,2422.33523875988,2535.9737412728,2469.2636752168
"CXXC5",308.486607967643,320.415833513684,311.488865730618,271.037120282294,259.307761658385,293.495814027961
"PSD2",13.4962890985844,14.5172222303935,9.0141472397928,8.49942189038554,8.42516193113886,9.74709345480315
"NRG2",41.452887945652,68.4383333718548,45.070736198964,50.9965313423133,51.487100690293,73.6447061029571
"LOC124900193",66.517424843023,50.8102778063771,63.0990306785496,63.2734740728702,64.5929081387313,64.980623032021
"MALINC1",3.85608259959554,9.33250000525293,7.01100340872773,9.44380210042838,7.48903282767899,4.33204153546807
"PURA",866.654564259097,735.193611524926,609.957296559313,1205.9735282247,969.829751184429,575.078513833386
"IGIP",118.574539937563,103.69444450281,89.1399004823954,144.490172136554,98.2935558632867,34.6563322837445
"CYSTM1",3306.59082915317,3807.6600021432,4319.77967169181,2852.02823432937,3964.50675315256,5501.69275004444
"PFDN1",1252.26282421865,1317.95638963072,1386.17553109703,898.105579750739,1267.51880608467,1542.20678662663
"HBEGF",94.4740236900907,122.359444513316,150.23578732988,89.7161199540696,126.377428967083,116.965121457638
"SLC4A9",6.74814454929219,5.18472222514052,8.01257532426026,4.72190105021419,0.936129103459874,6.4980623032021
"ANKHD1-DT",11.5682477987866,16.5911111204497,14.0220068174555,25.4982656711566,14.0419365518981,12.9961246064042
"LOC124901087",5.78412389939331,3.11083333508431,8.01257532426026,15.1100833606854,0,1.08301038386702
"ANKHD1-EIF4EBP3",32.7767020965621,15.5541666754216,19.0298663951181,26.4426458811995,22.467098483037,16.2451557580052
"ANKHD1",85.7978378410007,59.1058333666019,42.0660204523664,90.6605001641124,70.2096827594905,45.4864361224147
"SRA1",912.927555454244,992.355833891895,1195.87686714584,821.610782737269,893.067164700719,1176.14927687958
"APBB3",141.711035535136,155.541666754216,190.298663951181,148.267692976726,116.080008829024,172.198651034856
"LOC112267855",0.964020649898884,4.14777778011242,0,1.88876042008568,4.68064551729937,1.08301038386702
"TMCO6",225.580832076339,236.423333466408,269.422845278251,192.653562848739,241.521308692647,257.75647136035
"NDUFA2",287.278153669868,325.600555738825,387.60833131109,243.650094191052,281.774860141422,501.433807730429
"IK",1593.52613428286,1471.42416749488,1397.19282216788,1654.55412799505,1702.81883919351,1420.90962363353
"LOC124901088",0.964020649898884,1.0369444450281,5.00785957766267,8.49942189038554,0.936129103459874,9.74709345480315
"WDR55",428.025168555105,511.213611398855,416.653916861534,346.587537085722,366.026479452811,471.109516982152
"DND1",27.9565988470676,29.0344444607869,21.0330102261832,28.3314063012851,31.8283895176357,33.5733218998775
"HARS1",1868.27201950404,1970.1944455534,2224.49122439776,1866.09529504465,1963.99885905881,2527.74623594562
"HARS2",825.201676313445,901.104722729422,1032.62064491404,764.003589924656,928.640070632195,958.464189722309
"ZMAT2",1448.92303679802,1414.39222301833,1523.39088352498,1420.34783590443,1330.23945601648,1370.00813559178
"PCDHA4",1.92804129979777,3.11083333508431,2.00314383106507,4.72190105021419,4.68064551729937,4.33204153546807
"PCDHB2",4.82010324949442,5.18472222514052,3.0047157465976,8.49942189038554,11.2335492415185,5.41505191933508
