"","HT-29 cells treatment sample-3","HT-29 cells treatment sample-2","HT-29 cells treatment sample-1","HT-29 cells control sample-3","HT-29 cells control sample-2","HT-29 cells control sample-1"
"ARHGAP32",270,223,158,352,313,142
"LOC399975",17,28,28,45,33,15
"LOC124902791",0,0,0,0,0,0
"LOC105369571",0,0,0,0,0,0
"LOC105369572",0,0,0,0,0,0
"BARX2",1,1,2,2,2,3
"LINC01395",0,0,0,0,0,0
"LOC124902792",0,0,0,0,0,0
"LOC124902793",0,2,1,0,1,0
"TMEM45B",660,635,698,360,432,559
"NFRKB",639,689,586,612,632,609
"PRDM10",99,82,64,126,111,84
"PRDM10-DT",2,2,0,1,0,2
"LOC107984432",3,2,6,11,7,12
"APLP2",14201,13671,12903,12712,14619,11717
"ST14",14,11,10,10,4,19
"ZBTB44",1055,742,655,1257,974,488
"ZBTB44-DT",0,0,4,0,0,0
"ADAMTS8",1,2,0,0,0,2
"ADAMTS15",86,93,83,101,112,146
"LOC105369574",0,0,0,0,0,0
"MIR8052",0,0,0,0,0,0
"LINC02873",8,1,1,8,5,6
"LOC105369575",6,18,4,11,13,5
"LOC105369576",1,0,0,1,4,0
"LINC02551",0,2,1,0,3,2
"SNX19",1214,968,778,1515,1241,723
"LOC105369577",0,0,0,0,0,0
"LOC107984411",0,0,0,0,0,0
"LOC105369579",0,0,0,0,0,0
"LOC105369578",0,1,0,0,0,0
"LOC107984412",0,0,0,0,0,0
"LOC124902794",0,0,0,0,0,0
"NTM",0,0,0,0,0,0
"LOC101929653",0,0,0,0,0,0
"NTM-AS1",0,0,0,0,0,0
"LOC107984413",0,0,0,0,0,0
"LOC124902795",0,0,0,0,0,0
"NTM-IT",0,0,0,0,0,0
"OPCML",0,0,0,0,0,0
"LOC105369580",0,0,0,0,0,0
"LOC124902796",0,0,0,0,0,0
"OPCML-IT1",0,0,0,0,0,0
"LOC124902835",0,0,0,0,0,0
"LINC02743",0,0,0,0,0,0
"SPATA19",0,0,0,0,0,0
"IGSF9B",0,2,0,0,0,1
"MIR4697",0,0,0,0,0,0
"LINC02730",0,0,0,0,0,0
"LINC02731",0,0,0,0,1,2
"JAM3",4,3,0,1,2,0
"LOC124902797",0,0,0,0,0,0
"NCAPD3",1782,1651,1371,1934,2092,1580
"SNORD153",0,0,0,0,0,0
"VPS26B",762,745,801,811,929,834
"THYN1",369,400,398,396,412,412
"ACAD8",348,410,415,308,362,328
"GLB1L3",26,26,18,18,8,21
"GLB1L2",417,419,414,378,462,432
"LOC124902798",2,0,1,0,0,0
"B3GAT1",8,4,1,8,3,4
"B3GAT1-DT",0,0,0,0,0,0
"LOC124902799",0,0,0,0,0,0
"LOC105369583",1,1,0,3,0,4
"LINC02706",0,0,0,0,0,0
"LINC02714",2,0,0,1,0,1
"LINC02697",0,0,0,0,0,0
"LOC100507548",0,0,0,0,0,0
"LINC02717",0,0,0,0,0,0
"LOC105369587",0,0,0,0,0,0
"LINC02684",0,0,0,0,0,0
"WASH8P",224,215,301,220,195,235
"LOC107987170",0,0,3,0,0,0
"FAM138D",0,0,1,1,0,2
"IQSEC3",0,0,1,1,0,0
"IQSEC3-AS2",0,0,0,0,0,0
"LOC574538",0,0,0,0,0,0
"IQSEC3-AS1",0,0,0,0,0,0
"SLC6A12",0,0,3,3,0,2
"SLC6A12-AS1",0,0,0,0,0,0
"SLC6A13",4,1,0,0,1,0
"LOC102723544",0,0,0,1,0,0
"KDM5A",541,438,397,766,558,322
"CCDC77",190,169,195,264,218,120
"LOC105369594",4,5,5,1,2,3
"B4GALNT3",170,130,149,135,175,138
"LOC124902853",0,4,0,0,0,0
"LOC124902852",0,0,0,1,0,0
"NINJ2",124,119,145,121,91,161
"LOC105369595",0,0,0,0,0,0
"NINJ2-AS1",165,144,175,154,158,114
"LINC02455",2,0,0,0,3,1
"LOC101929432",10,7,7,9,8,1
"WNK1",3612,2732,2110,4193,3711,1936
"RAD52",160,163,180,211,212,137
"LOC124902855",0,2,1,2,1,2
"ERC1",677,618,439,1002,894,489
"LOC124902857",0,0,0,2,0,0
"LOC124902854",2,2,0,2,0,2
"LOC107987182",0,0,1,0,0,0
"LOC124902856",1,0,3,4,0,0
"LINC00942",3,1,0,2,2,1
"LOC107984507",0,0,0,0,0,0
"FBXL14",66,73,71,72,99,68
"WNT5B",18,29,25,16,20,8
"MIR3649",0,0,0,0,0,0
"ADIPOR2",673,601,618,733,730,596
"CACNA2D4",0,3,0,0,2,0
"LOC105369602",0,0,0,0,0,0
"LOC105369601",1,0,0,0,0,0
"LRTM2",0,0,0,0,0,0
"LOC124902858",0,0,0,0,0,0
"LINC00940",0,0,0,0,0,0
"DCP1B",82,79,64,76,78,80
"CACNA1C",1,5,2,6,2,1
"CACNA1C-IT1",0,0,0,0,0,0
"CACNA1C-IT2",0,0,0,0,0,0
"LOC107984131",0,0,0,0,0,0
"CACNA1C-AS4",0,0,0,0,0,0
"CACNA1C-IT3",0,0,0,0,0,0
"CACNA1C-AS2",0,0,0,0,0,0
"CACNA1C-AS1",0,0,0,0,0,1
"LINC02371",0,0,0,0,0,0
"ITFG2-AS1",5,10,7,5,3,6
"FKBP4",3074,3034,3318,2841,3012,3485
"ITFG2",174,146,183,120,137,163
"NRIP2",17,8,10,5,6,7
"TEX52",5,7,3,8,3,2
"FOXM1",1490,1472,1450,1916,1848,1676
"RHNO1",776,779,744,738,884,649
"LOC124902860",12,1,7,5,6,3
"TULP3",496,498,452,530,572,441
"LOC124903097",0,0,0,0,0,0
"LOC124902859",25,8,41,27,43,28
"TEAD4",292,277,311,243,341,321
"TSPAN9",276,270,274,229,306,331
"TSPAN9-IT1",0,0,0,0,0,0
"LOC124902861",0,0,0,0,0,0
"LOC100128253",0,0,0,0,0,0
"LINC02827",0,0,0,3,1,0
"LINC02417",0,0,0,0,0,0
"PRMT8",0,0,0,0,0,0
"LOC105369607",0,0,0,0,0,0
"LOC124902862",0,0,0,0,0,0
"THCAT155",0,0,0,0,0,0
"CRACR2A",2,0,0,1,0,1
"LOC107984495",0,0,0,0,0,0
"PARP11",0,0,0,0,0,0
"PARP11-AS1",0,0,0,0,0,0
"LOC105369608",0,0,0,0,0,0
"LOC105369611",0,1,0,1,0,1
"LOC124900317",0,0,0,0,0,0
"LOC105369612",0,0,0,0,0,0
"CCND2-AS1",0,0,0,0,0,0
"CCND2",4,9,7,12,4,13
"TIGAR",404,356,316,486,436,345
"FGF23",0,0,0,0,0,0
"FGF6",0,0,0,0,0,0
"C12orf4",360,256,276,409,355,174
"RAD51AP1",649,559,571,680,576,450
"DYRK4",234,239,267,203,269,266
"AKAP3",6,6,4,3,6,3
"NDUFA9",1064,1133,1063,1120,1220,1102
"GAU1",0,0,0,0,2,0
"GALNT8",1,0,0,1,2,1
"LOC124902863",0,0,2,0,0,0
"KCNA6",0,0,2,0,0,0
"KCNA1",0,2,0,3,0,1
"LOC100507560",0,0,0,0,0,0
"KCNA5",0,0,0,0,0,0
"LOC105369617",3,0,1,2,0,3
"LOC124902864",0,0,0,0,0,0
"LOC105369616",0,0,0,1,0,0
"LINC02443",0,0,0,0,0,0
"LOC105369618",8,2,0,2,0,0
"NTF3",0,0,0,0,0,0
"LOC124902865",0,0,0,0,0,0
"ANO2",95,81,71,128,134,95
"LOC105369621",0,0,0,0,0,0
"VWF",2,2,2,1,3,1
"SNORA120",0,0,0,0,0,0
"LOC124902866",0,1,2,1,0,0
"LOC105369623",0,0,1,0,0,0
"LOC105369622",0,0,0,0,0,0
"CD9",3632,3876,4879,2971,3623,4755
"LOC105369625",0,0,1,2,0,0
"PLEKHG6",18,12,15,12,10,7
"TNFRSF1A",2269,2214,2277,1788,2131,2251
"LOC112268088",2,0,0,1,0,2
"SCNN1A",706,753,756,651,663,713
"LOC107984500",6,0,0,2,0,0
"LOC105369626",0,1,3,0,0,2
"LTBR",1156,1288,1322,1086,1295,1544
"CD27-AS1",19,20,23,13,24,29
"CD27",4,6,2,3,3,2
"TAPBPL",22,7,24,22,21,26
"VAMP1",195,225,291,213,217,247
"MRPL51",1547,1473,1818,1584,1681,1885
"NCAPD2",2651,2542,2253,2854,3097,2632
"SCARNA10",2,0,0,0,0,4
"GAPDH-DT",11,8,14,11,5,18
"GAPDH",143040,154364,197554,94473,112844,184490
"IFFO1",0,0,1,0,1,2
"NOP2",1064,1111,1209,1068,1214,1167
"CHD4",3574,3331,2983,3984,4000,3137
"SCARNA11",0,1,0,0,1,1
"LOC124902867",0,0,0,2,0,0
"LOC105369631",1,0,1,0,0,0
"LPAR5",42,30,20,30,41,37
"ACRBP",23,11,15,16,13,15
"ING4",381,405,529,287,326,366
"ZNF384",703,647,674,682,654,738
"PIANP",39,47,40,44,36,37
"COPS7A",757,841,980,622,764,957
"MLF2",2733,2862,3626,2434,2605,3427
"PTMS",2570,2682,3612,2388,2455,3679
"LAG3",1,0,2,4,0,2
"CD4",5,5,8,14,4,6
"GPR162",10,12,18,14,11,15
"P3H3",610,631,707,481,637,672
"GNB3",21,13,15,31,20,20
"CDCA3",766,824,897,730,834,1089
"USP5",1920,1889,2153,1699,1743,2393
"TPI1",28111,30539,41617,21250,22889,40682
"SPSB2",134,125,132,100,129,159
"LOC105369632",23,7,14,17,14,18
"RPL13P5",46,39,53,67,53,51
"DSTNP2",116,132,113,121,106,116
"LRRC23",168,185,216,170,169,199
"ENO2",1560,1504,1718,1229,1301,1540
"LOC124902868",5,3,6,17,5,1
"ATN1",1300,1300,1312,1526,1507,1331
"C12orf57",453,430,568,370,541,703
"RNU7-1",9,10,6,6,7,12
"PTPN6",249,224,342,208,195,280
"LOC105369634",0,0,0,0,0,0
"MIR200CHG",0,0,0,0,0,0
"MIR200C",0,0,0,0,0,0
"MIR141",0,0,0,0,0,0
"PHB2",3826,3997,5001,3266,3988,5179
"SCARNA12",7,9,13,11,9,20
"EMG1",721,774,836,642,755,790
"LPCAT3",382,370,357,379,344,375
"C1S",583,681,616,522,511,573
"C1R",217,204,219,172,201,189
"C1RL",229,243,183,258,209,204
"C1RL-AS1",20,15,20,25,16,21
"RBP5",18,8,20,14,11,2
"CLSTN3",71,48,78,93,46,56
"LOC124902869",0,0,0,0,0,0
"PEX5",289,276,327,249,286,282
"ACSM4",0,0,0,0,0,0
"CD163L1",19,13,11,18,13,21
"LOC101927882",0,0,0,0,0,0
"CD163",0,0,0,0,0,0
"LOC124902870",0,0,0,0,0,0
"APOBEC1",0,0,0,0,0,0
"GDF3",0,0,0,0,0,0
"DPPA3",0,0,0,0,0,0
"CLEC4C",0,0,0,0,0,0
"NANOGNB",0,0,1,0,0,0
"NANOG",0,0,0,0,0,0
"SLC2A14",150,128,100,110,130,110
"SLC2A3",4157,4043,3232,3730,3617,3069
"LOC124902871",337,343,400,280,217,349
"FOXJ2",549,632,514,603,657,550
"C3AR1",3,0,1,4,3,2
"NECAP1",457,429,469,470,533,464
"CLEC4A",0,4,2,0,0,0
"POU5F1P3",3,12,11,12,3,12
"ZNF705A",0,0,0,0,0,0
"FAM66C",16,13,20,16,18,11
"FAM90A1",0,2,1,1,0,1
"FAM86FP",21,24,21,14,19,19
"LINC02449",5,3,6,5,4,5
"LOC112268090",15,13,8,18,18,6
"LOC107987171",2,1,1,6,1,0
"LINC00937",8,6,13,6,10,6
"LOC124906977",3,8,2,5,4,6
"CLEC6A",0,0,0,0,0,0
"CLEC4D",0,0,0,0,0,0
"CLEC4E",0,0,0,0,0,0
"LOC124902872",0,0,0,0,0,0
"LOC105369645",0,0,0,0,0,0
"LOC124900334",0,0,0,0,0,0
"AICDA",2,0,1,2,0,1
"MFAP5",2174,2047,2155,2139,2329,1974
"RIMKLB",2141,1596,1580,2317,1689,868
"A2ML1-AS1",0,0,0,0,0,0
"LINC02972",4,4,4,7,2,14
"A2ML1",0,1,0,0,4,0
"PHC1",186,162,120,157,198,114
"M6PR",1669,1699,1813,1505,1918,1657
"KLRG1",36,40,42,78,34,20
"LINC00612",3,2,5,0,1,5
"A2M-AS1",24,20,26,43,31,21
"A2M",350,311,299,418,480,366
"PZP",151,98,133,133,108,80
"A2MP1",32,21,13,40,24,12
"MIR1244-3",3,13,9,5,4,10
"LINC00987",109,78,81,89,69,39
"LOC124903067",27,11,14,22,13,5
"LOC642846",197,174,179,194,144,157
"LOC105369649",0,0,0,1,1,0
"LINC02367",4,3,5,11,6,4
"LOC101928030",2,1,0,1,0,0
"LOC728715",33,7,19,31,23,14
"LOC105369647",0,0,0,0,0,0
"DDX12P",201,214,206,212,207,183
"LOC124902873",12,6,8,9,3,3
"LOC408186",76,32,44,50,57,33
"KLRB1",0,0,1,0,1,0
"LOC374443",71,82,85,68,100,57
"LOC105369728",1,0,2,3,4,3
"CLEC2D",192,175,198,223,201,134
"LINC02390",0,0,0,2,0,0
"CLECL1P",1,0,0,1,2,0
"CD69",1,0,0,1,2,0
"KLRF1",17,13,5,16,3,5
"CLEC2B",334,300,304,303,229,256
"CLEC2A",0,0,0,0,0,0
"KLRF2",0,0,1,0,0,0
"LINC02470",0,0,0,0,0,0
"CLEC12A-AS1",0,0,0,0,0,0
"CLEC12A",0,0,0,0,0,0
"LOC124902874",0,0,0,0,0,0
"CLEC1B",0,0,0,0,0,0
"CLEC12B",0,0,0,0,0,0
"LOC102724020",0,0,0,0,0,0
"CLEC9A",0,0,0,0,0,0
"CLEC1A",0,0,0,0,0,0
"LOC105369655",0,0,0,0,0,0
"CLEC7A",3,0,2,0,0,0
"OLR1",3347,2897,2715,2977,2963,1876
"TMEM52B",322,256,254,310,298,235
"GABARAPL1",3330,3262,3611,3112,3404,3298
"GABARAPL1-AS1",125,110,121,147,155,134
"KLRD1",1,2,2,0,0,0
"LOC124902875",0,0,0,1,0,0
"LOC105369656",0,0,0,0,1,0
"LINC02617",0,1,0,0,0,0
"LINC02598",1,2,6,0,1,0
"KLRK1-AS1",0,1,2,1,3,0
"KLRC4-KLRK1",0,0,0,0,0,0
"KLRK1",0,0,0,0,0,0
"KLRC4",0,0,0,1,1,0
"KLRC3",1,3,4,4,3,2
"KLRC2",0,2,2,0,2,3
"KLRC1",0,0,0,0,0,0
"LOC105369657",0,0,0,0,0,0
"EIF2S3B",4047,3804,3548,4444,4808,3084
"LOC105369658",0,0,0,0,0,0
"LINC02446",0,0,2,0,0,0
"LOC105376675",0,0,2,6,4,4
"KLRA1P",31,11,28,45,13,12
"MAGOHB",312,259,250,318,261,285
"STYK1",96,112,101,99,94,63
"YBX3",3265,3289,3471,2799,2990,3472
"LOC124902876",4,11,8,7,10,2
"LOC112268104",2,2,2,2,0,0
"LINC02366",0,0,0,0,0,0
"TAS2R7",0,0,0,0,0,0
"TAS2R8",0,0,0,1,0,0
"TAS2R9",0,0,1,0,0,0
"TAS2R10",2,0,0,3,0,1
"PRH1-PRR4",0,0,0,0,0,0
"PRR4",0,0,0,0,0,0
"PRH1",1,1,1,3,5,6
"TAS2R13",0,0,2,0,0,0
"PRH2",3,5,4,3,10,11
"PRH1-TAS2R14",0,0,0,0,0,0
"TAS2R14",7,5,0,6,1,1
"TAS2R50",0,0,0,0,0,0
"TAS2R20",10,7,9,8,3,5
"TAS2R19",0,0,0,0,0,0
"TAS2R31",4,4,2,0,1,0
"TAS2R46",0,0,0,0,0,0
"TAS2R43",0,0,0,0,0,0
"TAS2R30",0,0,0,0,0,0
"SMIM10L1",134,146,185,218,190,160
"TAS2R42",0,0,0,0,1,0
"LOC107987435",0,0,0,1,1,0
"PRB3",0,0,0,1,0,0
"PRB4",0,0,0,0,0,0
"PRB1",0,0,0,0,0,0
"PRB2",0,0,0,0,0,0
"LOC124902878",0,0,0,0,0,0
"LOC440084",0,0,0,0,0,0
"LOC124902877",0,0,0,0,0,0
"LINC01252",0,0,1,0,0,0
"ETV6",210,173,173,259,226,168
"LOC124902879",1,2,0,3,2,1
"BCL2L14",3,0,0,1,4,1
"MIR1244-4",0,0,5,2,3,1
"LRP6",540,480,320,741,626,264
"MANSC1",214,201,196,269,275,203
"LOH12CR2",16,8,5,7,9,4
"BORCS5",178,182,161,159,176,149
"DUSP16",2037,1882,1608,2122,2285,1424
"LOC107984486",2,1,0,4,0,0
"CREBL2",4121,3569,3587,4208,3965,2810
"LOC124902880",37,23,33,35,25,26
"GPR19",113,125,108,160,115,97
"CDKN1B",1393,1351,1146,1128,1200,987
"LOC105369663",6,2,2,0,1,0
"APOLD1",376,265,250,323,288,131
"MIR613",0,0,0,0,0,0
"DDX47",2464,2466,2355,2054,2055,2185
"RPL13AP20",48,29,63,31,28,35
"LOC124902881",4,3,14,5,8,11
"GPRC5A",25005,24456,21635,19347,18161,21587
"MIR614",0,0,0,0,0,0
"GPRC5D-AS1",12,9,5,6,3,2
"GPRC5D",5,3,2,5,0,3
"LOC124903100",0,0,0,0,0,0
"HEBP1",994,887,905,852,1014,930
"HTR7P1",59,57,31,54,61,40
"FAM234B",160,142,124,225,191,136
"GSG1",0,1,0,0,2,0
"LOC105369666",0,1,0,0,0,0
"LOC124902882",0,0,0,0,0,0
"EMP1",714,679,616,627,654,613
"LINC01559",0,0,1,0,0,0
"GRIN2B",0,0,0,0,2,0
"LOC105369668",0,0,0,0,0,0
"LOC105369667",0,0,0,0,0,0
"LOC124902883",0,0,0,0,0,0
"LOC124902884",0,2,1,1,1,0
"ATF7IP",472,321,272,619,431,236
"PLBD1",0,0,0,0,0,0
"LOC101928317",0,0,0,0,0,0
"PLBD1-AS1",0,0,0,0,0,0
"GUCY2C",0,0,1,0,0,0
"GUCY2C-AS1",0,1,0,5,1,0
"LOC105369669",5,8,11,6,7,5
"H4C16",1,0,0,0,2,0
"H2AJ",465,500,680,424,469,706
"WBP11",2218,2062,1897,2295,2354,2051
"C12orf60",14,26,20,32,38,28
"SMCO3",2,2,0,0,1,2
"ART4",1,0,1,0,0,0
"MGP",1,3,5,4,3,2
"LOC124902885",0,0,0,0,0,0
"ERP27",0,0,0,0,0,1
"ARHGDIB",29,30,16,11,28,39
"PDE6H",0,0,0,0,0,0
"LINC01489",0,0,0,0,0,0
"RERG",349,326,353,339,404,291
"RERG-IT1",5,0,0,2,0,0
"RERG-AS1",0,0,0,0,0,0
"LOC124902887",0,0,3,1,0,2
"LOC124902886",2,1,3,1,2,0
"LOC105369673",66,46,60,82,57,42
"PTPRO",0,0,0,0,0,0
"LOC105369672",0,0,0,0,0,0
"EPS8",560,507,387,629,601,277
"LOC102724146",2,1,0,2,1,1
"STRAP",2495,2136,1932,2817,2683,1852
"DERA",589,610,672,631,640,597
"LOC101928362",0,0,0,0,0,0
"SLC15A5",0,0,0,0,0,0
"MGST1",2759,2495,2912,2560,2966,3306
"LMO3",0,0,0,0,0,0
"LOC105369677",0,0,0,0,0,0
"SKP1P2",30,27,38,25,37,29
"LINC02378",0,0,0,0,0,0
"LOC124902888",0,0,0,0,0,0
"LOC124902889",0,0,0,0,0,0
"MIR3974",0,0,0,0,0,0
"RERGL",0,0,0,0,0,0
"PIK3C2G",1,0,0,0,0,0
"LOC124902890",0,0,0,0,0,0
"LOC124902891",0,0,0,0,0,0
"PLCZ1",0,0,0,0,0,0
"CAPZA3",0,0,0,0,0,0
"LOC102724227",0,0,0,0,0,0
"LOC107984527",0,0,0,0,0,0
"PLEKHA5",384,307,242,413,343,183
"LOC124902892",0,0,0,0,0,0
"AEBP2",711,552,515,792,683,362
"LOC101928387",6,10,11,15,8,0
"LOC105369682",0,0,0,0,0,0
"LINC02398",1,0,1,2,1,1
"LOC124902893",2,0,8,4,4,0
"LOC105369685",0,0,0,3,0,0
"LINC02468",1,0,0,0,0,0
"LOC105369686",0,0,1,0,1,0
"LOC105369687",3,2,5,7,3,2
"LOC105369688",0,1,0,1,1,1
"PDE3A-AS1",7,9,10,20,15,11
"PDE3A",2975,2256,1926,3763,3096,1490
"SLCO1C1",0,9,1,17,11,2
"SLCO1B3",53,44,45,66,44,26
"SLCO1B3-SLCO1B7",4,4,9,13,2,1
"LOC124902894",9,8,7,7,2,1
"SLCO1B1",3,4,6,14,5,17
"LOC124902895",0,0,0,2,0,0
"SLCO1A2",82,61,67,103,101,53
"IAPP",0,0,0,2,2,0
"PYROXD1",149,113,122,194,164,80
"RECQL",509,396,415,681,481,261
"GOLT1B",709,597,545,801,660,504
"SPX",2,4,5,7,8,6
"GYS2",0,0,0,0,0,0
"LOC124902896",0,0,0,0,0,0
"LDHB",14250,12587,13910,15483,14231,12428
"LOC105369689",0,0,0,0,0,0
"LOC102724261",0,0,0,0,0,0
"KCNJ8",0,0,0,0,0,0
"ABCC9",0,0,0,0,0,0
"CMAS",656,688,665,594,718,590
"LOC105369690",1,0,0,1,0,0
"SULT6B2P",0,0,0,0,0,0
"ST8SIA1",0,0,0,0,0,0
"LOC112268093",0,0,0,0,0,0
"LOC105369151",0,0,0,0,0,0
"C2CD5",425,340,305,534,469,236
"C2CD5-AS1",0,0,0,0,0,0
"ETNK1-DT",0,1,0,0,1,0
"ETNK1",544,440,486,879,735,316
"LINC02955",0,2,0,0,0,1
"SOX5",0,0,1,0,0,0
"LOC105369697",0,0,0,0,0,0
"MIR920",0,0,0,0,0,0
"SOX5-AS1",0,0,0,0,0,0
"LINC00477",0,0,0,0,0,0
"LOC105369698",0,0,0,0,0,0
"LOC124902897",0,0,0,0,0,0
"BCAT1",0,1,0,1,0,0
"LOC105369699",0,0,0,0,0,0
"LOC124902898",0,0,0,0,0,0
"LOC107984475",0,0,0,0,0,0
"LINC02909",0,0,0,0,0,0
"IRAG2",2,0,2,0,0,0
"DNAI7",4,9,10,5,5,0
"ETFRF1",299,269,327,405,340,297
"KRAS",982,807,672,1066,1043,458
"LOC124902899",5,4,3,0,0,0
"LOC105369701",0,0,0,0,0,0
"LOC124902900",0,0,0,0,0,0
"LMNTD1",13,6,9,9,7,1
"MIR4302",0,0,0,0,0,0
"RASSF8-AS1",58,57,43,49,34,53
"RASSF8",727,551,481,839,695,286
"LOC107984501",0,0,0,0,0,0
"LOC124902901",0,0,0,0,0,0
"BHLHE41",153,112,81,121,108,87
"SSPN",10,5,5,14,8,2
"ITPR2-AS1",0,0,0,0,0,0
"LOC105369705",0,0,0,0,0,0
"LOC105369704",0,0,0,0,0,0
"LOC107984482",0,0,0,0,2,0
"ITPR2",418,301,236,568,340,190
"LOC124902903",2,0,0,0,0,0
"LOC124902902",0,0,0,0,0,0
"INTS13",604,542,510,753,613,320
"FGFR1OP2",357,314,348,428,344,291
"TM7SF3",2542,2611,2640,2529,2957,2681
"MED21",587,440,554,755,684,502
"C12orf71",0,1,0,0,0,0
"STK38L",290,305,196,396,382,152
"LOC124902905",2,0,0,0,0,0
"LOC124902906",1,0,0,0,1,0
"BMAL2",283,259,179,387,328,189
"BMAL2-AS1",0,1,0,0,0,0
"SMCO2",7,4,1,7,3,5
"PPFIBP1",473,481,373,565,428,255
"MRPS35-DT",2,0,0,0,0,0
"REP15",2,2,7,1,1,0
"MRPS35",1371,1276,1403,1457,1434,1182
"MANSC4",0,0,0,1,2,0
"KLHL42",616,489,476,787,630,283
"LOC105369709",0,0,0,0,0,0
"PTHLH",24,20,14,18,17,18
"LOC105369710",0,1,0,0,0,2
"LOC107984462",0,0,0,0,0,0
"LOC729291",35,25,34,37,37,23
"CCDC91",202,241,197,228,238,137
"LOC105369711",0,0,0,0,0,0
"LOC124902907",0,0,1,0,0,0
"LOC101928735",0,0,0,0,0,0
"LOC124902908",0,0,0,1,0,0
"FAR2",128,106,92,192,116,68
"LOC100506606",0,1,0,1,3,2
"ERGIC2",830,654,683,915,696,562
"OVCH1-AS1",0,0,0,0,0,0
"OVCH1",3,0,2,1,1,1
"TMTC1",1328,1030,864,1584,1621,839
"LOC105369714",2,5,1,2,3,0
"LOC124902909",0,0,0,0,0,0
"LOC105369715",0,0,0,0,0,0
"LOC105369716",0,0,0,0,0,0
"LINC02386",0,0,2,0,0,0
"LOC105369718",0,0,0,0,0,0
"LOC105369719",0,0,0,0,1,0
"IPO8",1508,1156,1086,1616,1543,738
"CAPRIN2",428,352,321,483,351,157
"LOC645485",0,1,0,0,0,0
"LINC00941",143,119,124,106,142,88
"LOC107984476",0,0,0,0,0,0
"LOC124902911",0,6,0,1,2,2
"TSPAN11",13,8,5,5,4,0
"TSPAN11-AS1",15,10,7,10,7,4
"DDX11-AS1",60,48,60,55,70,55
"DDX11",793,765,846,718,715,681
"OVOS2",10,5,11,6,7,4
"LOC124902912",3,1,0,0,1,3
"SINHCAF",716,677,671,686,714,526
"FLJ13224",1,0,0,0,1,0
"LINC02387",0,0,0,0,0,0
"LOC124903091",0,0,0,0,0,0
"DENND5B",1078,867,647,1525,1033,424
"LOC124903111",0,0,1,3,0,2
"DENND5B-AS1",33,28,37,36,41,37
"LOC124902913",0,0,2,0,0,0
"ETFBKMT",23,36,19,48,31,25
"AMN1",70,73,68,51,77,70
"LOC105369722",0,0,0,1,0,0
"LOC105369724",0,0,3,0,0,0
"LOC107984470",0,0,0,0,0,0
"H3-5",73,71,54,56,68,64
"LINC02422",0,0,0,0,0,0
"LOC105369725",3,5,6,5,5,3
"RESF1",158,130,118,240,148,61
"BICD1-AS1",0,0,0,0,0,0
"BICD1",223,170,179,294,242,143
"FGD4",159,127,104,175,156,57
"LOC124902914",0,0,0,2,0,0
"DNM1L",1311,965,868,1730,1264,626
"YARS2",357,308,339,309,348,395
"PKP2",362,324,256,260,317,213
"SYT10",0,0,0,0,0,0
"LOC105369726",0,0,0,0,0,0
"ALG10",212,212,163,205,206,141
"LOC124902915",0,0,0,0,0,0
"LINC02963",0,3,1,2,0,0
"LOC107984469",1,0,0,0,0,0
"LOC124902916",0,0,0,0,0,0
"ALG10B",444,302,339,508,489,213
"LOC124902917",0,0,0,0,0,0
"CPNE8",403,354,346,480,513,237
"CPNE8-AS1",7,12,12,16,19,15
"LOC107984484",0,0,0,0,0,0
"LINC02406",0,0,0,0,0,0
"KIF21A",698,478,420,1034,602,286
"LOC101927019",0,1,1,1,0,0
"LOC124902919",0,0,0,2,0,0
"ABCD2",1,2,0,2,1,0
"LOC124902918",0,0,0,0,0,0
"REDIC1",0,1,0,0,0,0
"SLC2A13",383,310,295,368,372,172
"LOC124900327",2,0,0,0,0,0
"LOC112268095",0,0,1,0,0,0
"LRRK2-DT",0,0,0,0,0,0
"LINC02471",0,0,0,0,0,0
"LOC105369735",0,0,0,0,0,0
"LINC01779",4,8,6,5,2,6
"LRRK2",75,76,59,79,48,16
"LOC105369736",0,0,0,0,0,0
"MUC19",0,0,0,0,0,0
"CNTN1",171,119,83,176,175,76
"LOC124903069",0,0,0,0,0,0
"PDZRN4",0,0,2,0,0,0
"LOC107984499",0,0,0,0,0,0
"LOC107984498",0,0,0,0,0,0
"LINC02400",0,0,0,0,0,0
"LOC105378247",0,1,1,2,1,0
"GXYLT1",407,311,253,525,413,191
"YAF2",441,392,420,409,438,324
"LOC124902920",0,1,1,1,0,5
"LOC124902921",0,0,0,0,0,0
"ZCRB1",1347,1351,1333,1403,1397,1026
"MIR7851",0,0,2,0,0,0
"PPHLN1",1175,961,964,1255,1195,862
"PRICKLE1",56,49,44,67,86,50
"LINC02402",0,0,0,0,0,0
"LINC02451",0,0,0,0,0,0
"LINC02450",0,0,0,0,0,0
"LINC02461",0,0,0,0,0,0
"ADAMTS20",33,21,13,26,31,5
"PUS7L",440,329,331,548,394,217
"IRAK4",282,258,270,356,317,178
"TWF1",2158,1734,1764,2656,1981,1302
"TMEM117",189,173,148,202,218,122
"LOC124902922",3,0,0,0,0,0
"NELL2",215,187,169,273,227,142
"DBX2",0,0,0,0,0,0
"LOC105369742",0,0,0,0,0,0
"DBX2-AS1",0,0,0,0,0,0
"RACGAP1P1",1,0,1,0,2,0
"PLEKHA8P1",119,113,98,118,149,85
"ANO6",2182,1778,1349,2445,2274,1104
