"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"23443",868,1161,762,1085
"64645",601,751,473,520
"163786",699,804,533,484
"54482",502,542,512,483
"127495",92,76,87,125
"1629",707,942,899,556
"100506007",19,27,26,11
"8634",873,1062,1187,766
"8556",313,368,193,162
"2135",668,799,932,425
"148867",697,990,642,470
"51611",799,1008,1046,864
"102606465",103,82,168,114
"55599",310,370,278,376
"280",84,104,101,232
"648740",0,10,10,7
"55170",113,143,278,184
"29957",1192,1590,1081,853
"284611",851,1135,856,826
"55119",1730,2387,1795,1650
"6814",860,1016,682,775
"29899",2135,2820,1258,1644
"23155",838,1003,634,783
"22911",704,905,604,500
"6884",539,604,292,430
"56900",444,621,685,681
"677766",11,14,5,6
"57535",35,55,33,23
"6301",2350,2982,2219,3103
"1952",2004,2457,1414,1131
"84722",873,1019,448,447
