"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"SNORD76",23.2390367214358,1.22317698906997,0.305971043426867,3.9976887203783,6.39639897833868e-05,0.000300154210190247,"yes","SNORD76"
"PVR",10.8574446895932,1.91204051449087,0.478718637012424,3.99407995983504,6.49459451646562e-05,0.000304336290719185,"yes","PVR"
"FAM91A1",25.8320401175013,1.14624249894831,0.286999362712534,3.993885171433,6.4999351502993e-05,0.000304480202431618,"yes","FAM91A1"
"ITM2B",23.7667391995412,-1.25475931628794,0.31428081553197,-3.99247823690434,6.53863356085226e-05,0.000305972472453414,"yes","ITM2B"
"LOC100505644",7.40933496377248,-2.61281538400896,0.6547383708585,-3.99062511119214,6.58993750602578e-05,0.000308158248800425,"yes","LOC100505644"
"TMEM169",2.8453597016279,5.0107580344475,1.25628809431938,3.98854216409826,6.64805878074604e-05,0.000310443287861082,"yes","TMEM169"
"C18orf56",24.0711378788601,-1.20546740397544,0.302488236465682,-3.98517118569736,6.74314947576692e-05,0.000314542263465738,"yes","C18orf56"
"C1orf131",21.4877485216929,-1.28834163797643,0.323352167621266,-3.98432967823934,6.7670872122517e-05,0.000315342973392042,"yes","C1orf131"
"FAM192A",27.8083390393621,-1.13168158197412,0.284236673802371,-3.98147630576684,6.84885494095495e-05,0.000318710502559319,"yes","FAM192A"
"FGD3",22.7498310478549,-1.23838679680481,0.31103182492816,-3.98154367994607,6.84691350133207e-05,0.000318710502559319,"yes","FGD3"
"SPIN2B",13.2853572020272,-1.70692366045879,0.428709844011088,-3.98153596028609,6.84713592295042e-05,0.000318710502559319,"yes","SPIN2B"
"C2CD4C",19.831516215464,1.32854631718683,0.333935741599652,3.97844899986656,6.9366286050593e-05,0.000322571262965253,"yes","C2CD4C"
"XLOC_l2_010064",12.2126406591461,-1.79569835943786,0.451425994246619,-3.97783553079324,6.95454472704127e-05,0.00032329234947327,"yes","XLOC_l2_010064"
"FAM83E",31.6809085726765,-1.02996677158685,0.258950923998075,-3.97745934127083,6.96555283868746e-05,0.000323531982505729,"yes","FAM83E"
"KRT12",5.69173080460347,3.43848334507581,0.866111238285977,3.97002508809437,7.18650643452811e-05,0.000333267094108638,"yes","KRT12"
"ADRB1",7.68573887365961,2.43640719437799,0.614314770277167,3.9660566736475,7.30714948661025e-05,0.000338627694343223,"yes","ADRB1"
"SNORD99",24.325802990714,1.18388271396138,0.298546265835316,3.96549161534122,7.32448272009653e-05,0.000339266134443314,"yes","SNORD99"
