"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"TMEM41B",109.325553767264,115.761435595237,125.149093869868,111.705504087785,179.914800370425,201.951527186434,229.027214223805,240.973165705701
"LYRM7",4.01194692723903,4.82339314980155,4.50176596654202,3.91949137150124,2.14184286155268,3.04449538472011,2.96155880461817,2.1906651427791
"TTC19",4326.8847610273,4170.30571731842,4284.78084695469,4450.58245233966,2669.80712692542,2779.62428624946,2767.08310978158,2705.47145133219
"LOC200830",7.02090712266831,7.71742903968248,7.20282554646722,8.81885558587779,4.28368572310537,5.07415897453351,4.93593134103028,5.47666285694775
"FLJ46875",2.00597346361952,2.89403588988093,1.80070638661681,1.95974568575062,1.07092143077634,1.0148317949067,0.987186268206057,1.09533257138955
"ZNRD1",169.504757675849,156.27793805357,176.469225888447,169.518001817429,201.333228985952,187.74388205774,221.129724078157,194.96919770734
"LOC151009",13.0388275135269,12.540822189484,10.8042383197008,11.7584741145037,8.56737144621073,9.13348615416032,8.88467641385451,9.85799314250594
"FAHD2A",31.0925886861025,29.9050375287696,33.3130681524109,33.3156766577605,24.6311929078559,28.4152902573877,28.6284017779757,26.2879817133492
"XLOC_001938",2.00597346361952,0.96467862996031,1.80070638661681,0.97987284287531,2.14184286155268,1.0148317949067,0.987186268206057,2.1906651427791
"IRF5",131.391261867078,123.47886463492,108.042383197008,101.906775659032,158.496371754899,164.402750774886,154.988244108351,144.583899423421
"ZC3H3",102.304646644595,114.796756965277,108.942736390317,106.806139873409,186.340328955083,182.669723083206,196.450067373005,185.111204564834
"BTF3L4",27.0806417588635,25.081644378968,28.8113021858689,24.4968210718828,18.2056643231978,19.2818041032273,18.7565390959151,17.5253211422328
"PIPOX",3.00896019542928,1.92935725992062,1.80070638661681,1.95974568575062,2.14184286155268,2.0296635898134,1.97437253641211,2.1906651427791
"KLHL23",9.02688058628783,9.64678629960309,10.8042383197008,9.7987284287531,6.42552858465805,7.10382256434692,6.9103038774424,7.66732799972684
"ZC3HC1",57.1702437131563,60.7747536874995,60.323663951663,58.7923705725186,14.9929000308688,15.2224769236005,17.769352827709,17.5253211422328
"NCAPH2",340.012502083508,342.46091363591,335.831741104034,326.297656677478,484.056486710906,483.05993437559,443.24663442452,429.370367984703
"PACRGL",11.0328540499073,12.540822189484,11.7045915130092,10.7786012716284,8.56737144621073,8.11865435925362,8.88467641385451,8.76266057111639
"MMP23B",1.00298673180976,0.96467862996031,0.900353193308403,0.97987284287531,1.07092143077634,1.0148317949067,1.97437253641211,2.1906651427791
"GPRIN1",8.02389385447807,7.71742903968248,7.20282554646722,7.83898274300248,28.9148786309612,30.4449538472011,29.6155880461817,26.2879817133492
"SDSL",79.235951812971,76.2096117668644,63.0247235315882,62.7118619440198,59.9716001234751,61.9047394893088,45.4105683374786,43.813302855582
"RABGEF1",31.0925886861025,29.9050375287696,31.5123617657941,31.3559309720099,34.2694857848429,34.5042810268279,36.5258919236241,39.4319725700238
"TYW1",25.074668295244,25.081644378968,23.4091830260185,25.4766939147581,27.8439572001849,28.4152902573877,36.5258919236241,33.955309713076
