"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IMPDH2","IMPDH2",169.008072543757,0.142071442691279,0.116206099904221,1.22258162702626,0.221487756069889,0.357621823978051
"NDUFV3","NDUFV3",130.279152210671,0.142084257581308,0.127476044305448,1.11459575291541,0.265023691156307,0.409768104247208
"METAP1","METAP1",296.703197488538,0.142410609081402,0.100365925757011,1.41891391931343,0.155924113715467,0.271425705152031
"ACTG1","ACTG1",1312.45387177962,0.142775910424774,0.0537151094336307,2.65802140087204,0.00786009016443636,0.0224938075183614
"MYL12B","MYL12B",2621.65354974891,0.142848086177109,0.0497211874274362,2.87298219467473,0.00406617032410156,0.0126102036680875
"MRPL44","MRPL44",56.2209018600455,0.142922686478445,0.200849468443281,0.711591061635322,0.476718043624911,0.628688614299794
"UGT1A6","UGT1A6",231.620369419788,0.143170506182837,0.132153460805279,1.08336554571046,0.278646202378083,0.425534143552005
"DR1","DR1",52.2432252581869,0.143312060404782,0.198063981550381,0.723564472868726,0.469333159061837,0.622015173430728
"RANBP9","RANBP9",12.1171740297969,0.143339139895517,0.399076351871408,0.359177233186958,0.719462507099992,0.831378897093324
"GTF2H2D","GTF2H2D",67.3124783689572,0.144345515547171,0.194699070214918,0.741377528859462,0.458464565484273,0.61280866897848
"LOC100506390","LOC100506390",48.2774704243686,0.145252939648243,0.20556178427922,0.706614510851596,0.479806068819327,0.63189098476733
"MKKS","MKKS",71.5172345861532,0.145443520420746,0.167705641951986,0.86725478479959,0.385802424803916,0.540792532772891
"MFSD5","MFSD5",80.7241803623533,0.145602367193731,0.160612570843333,0.906544029705849,0.364647971205913,0.519222795765075
"RMND5B","RMND5B",58.9248010880352,0.145769883151198,0.187151943513881,0.778885222425632,0.436047329690936,0.591328310435014
"PSMC4","PSMC4",268.059921419513,0.146536072995026,0.0948314304113397,1.54522685526742,0.1222914006987,0.223736728729546
"BRD7","BRD7",319.927353712751,0.146641225280383,0.090368959602333,1.62269462795273,0.104654700347524,0.198146556579811
"TRIM7","TRIM7",43.7587274513619,0.14682504197779,0.212770266142556,0.690063722904862,0.490154115232481,0.641865066857879
"SEPW1","SEPW1",1159.47486420102,0.146887314905776,0.0870725419486895,1.68695333360469,0.0916123255657696,0.17882597989093
"XLOC_l2_009029","XLOC_l2_009029",1101.83264198127,0.146942665484063,0.0712138069171737,2.06340135214183,0.0390745115991222,0.0881048147250123
"SUZ12","SUZ12",311.71377686388,0.147316147953947,0.0873631794707907,1.68624984628909,0.0917476866721929,0.178933996859157
"SF3A3","SF3A3",183.786441958424,0.14744408787511,0.108139194715254,1.36346574674752,0.172735772602459,0.294537763756303
"SOD3","SOD3",65.7861924934595,0.147461162841477,0.179983804181637,0.81930240063523,0.412613903269701,0.568806835826789
"CYB5R4","CYB5R4",10.6254274341408,0.147488317290943,0.426687600247668,0.345658784565884,0.729599162171561,0.838973374448759
"ZNF696","ZNF696",43.3429315345374,0.147534146200606,0.216135065413141,0.682601621900617,0.494858608950026,0.646196524982825
"IPPK","IPPK",10.8629262810533,0.147608912630523,0.421292934217156,0.350371204076348,0.726060134258456,0.836409304586248
"LRBA","LRBA",68.4781845517783,0.147718840035322,0.173099025403623,0.85337765299879,0.393449909953269,0.548418077083954
"XLOC_004644","XLOC_004644",32.6952009267511,0.148430964562748,0.250090630221065,0.59350869895263,0.552840763054305,0.697126244654826
"KIF1C","KIF1C",1183.17128057834,0.148693010693093,0.0618154110332098,2.40543592945146,0.0161531841629032,0.04188463833195
"CPSF4","CPSF4",160.101883936915,0.14895303336057,0.116299648148807,1.28076942391074,0.200274666709912,0.331019456520904
"RNF130","RNF130",43.2916362953469,0.148984954960186,0.213380160021298,0.698213718394978,0.485043548495988,0.637100474507752
"SSR1","SSR1",398.462209365962,0.149201689225136,0.0843489527679111,1.76886237859608,0.0769168438353946,0.154478499535277
"CHD8","CHD8",124.279945144723,0.14925798983574,0.130316312218947,1.14535154727959,0.252063560877814,0.394733831298792
"ACSM3","ACSM3",22.0048955751661,0.149315509460287,0.298320337789589,0.500520717315635,0.616708472171281,0.751135802328634
"TERF2IP","TERF2IP",53.581028314301,0.149341805150632,0.195155821458742,0.765243916550059,0.44412631312775,0.598413037754534
"CNPY3","CNPY3",41.5507535588581,0.149675879981154,0.218239703485676,0.68583249331155,0.492818743575926,0.644285350206064
"LYAR","LYAR",94.7887718350072,0.149849109499801,0.150600927405511,0.995007879973502,0.319732431853148,0.471014637722832
"PPP1R2","PPP1R2",32.845418388158,0.150335833717126,0.247300045118746,0.607908638451478,0.543248069909309,0.688346817709037
